id,name,side,avg_bat_speed,ideal_attack_angle_rate,competitive_swings,raw_swing_power_score,swing_path_efficiency_score,mechanical_swing_quality_score,mechanical_swing_quality_percentile,mechanical_swing_quality_shrunk,mechanical_swing_quality_shrunk_percentile,mechanical_swing_quality_adjusted_label,xwoba,xba,xslg,avg_exit_velocity,hard_hit_rate,barrel_rate,expanded_latent_swing_quality_score,expanded_latent_swing_quality_percentile,expanded_latent_swing_quality_shrunk,expanded_latent_swing_quality_shrunk_percentile,expanded_lsq_label,msq_reliability,msq_uncertainty_proxy,date_start,date_end,dashboard_ranking_score
656941,"Schwarber, Kyle",L,77.311661216,0.6422907488986783,1135,2.19805332967443,1.5701433702083036,1.8840983499413668,99.65928449744463,1.884076175065385,99.82964224872232,Elite reliability-adjusted mechanical profile,0.401,0.249,0.581,94.3,59.6,20.8,2.5814605930220793,99.82964224872232,2.5814302105484126,100.0,Elite reliability-adjusted mechanical profile,0.9999882305103751,0.02968260885977624,2025-03-28,2025-09-30,2.5814302105484126
519317,"Stanton, Giancarlo",R,80.620201027,0.6205357142857143,448,3.4513942607099026,1.3151095513059023,2.3832519060079025,100.0,2.3562415275054662,100.0,Elite reliability-adjusted mechanical profile,0.354,0.235,0.52,94.4,55.2,22.1,2.6029301815709167,100.0,2.57343009841042,99.82964224872232,Elite reliability-adjusted mechanical profile,0.9886665868453326,0.0472455591261534,2025-03-28,2025-09-30,2.57343009841042
592450,"Judge, Aaron",R,77.006817835,0.5074478649453823,1007,2.082572571156049,-0.010616957607005881,1.0359778067745216,93.8671209540034,1.0359339531979381,95.57069846678023,Elite reliability-adjusted mechanical profile,0.46,0.3,0.708,95.4,58.2,24.7,2.5442487519202692,99.65928449744463,2.544141052308598,99.65928449744463,Elite reliability-adjusted mechanical profile,0.9999576693860653,0.031512674583162724,2025-03-28,2025-09-30,2.544141052308598
660271,"Ohtani, Shohei",L,75.819007365,0.5359361135758651,1127,1.6326062520524187,0.3233501893697947,0.9779782207111067,92.84497444633732,0.977965751747073,94.54855195911414,Elite reliability-adjusted mechanical profile,0.425,0.274,0.649,94.9,58.7,23.5,2.261268389685509,99.48892674616695,2.261239559110733,99.48892674616695,Elite reliability-adjusted mechanical profile,0.9999872502640962,0.029787773436724965,2025-03-28,2025-09-30,2.261239559110733
665742,"Soto, Juan",L,73.584570689,0.6575492341356672,914,0.786157031605768,1.7490182757134531,1.2675876536596107,97.61499148211243,1.2674516575653276,98.46678023850085,Elite reliability-adjusted mechanical profile,0.429,0.288,0.608,93.8,55.3,18.1,2.2030545541919606,99.31856899488926,2.202818194352073,99.31856899488926,Elite reliability-adjusted mechanical profile,0.9998927126704883,0.03307706008278112,2025-03-28,2025-09-30,2.202818194352073
624413,"Alonso, Pete",R,75.248346241,0.5966312056737587,1128,1.4164284257853839,1.0348774933592126,1.2256529595722983,96.9335604770017,1.2256374883095298,98.12606473594549,Elite reliability-adjusted mechanical profile,0.386,0.274,0.572,93.5,54.4,18.9,1.941527110746536,99.14821124361158,1.9415026030946205,99.14821124361158,Elite reliability-adjusted mechanical profile,0.9999873771260881,0.029774566708770683,2025-03-28,2025-09-30,1.9415026030946205
682998,"Carroll, Corbin",L,74.645728403,0.6843082636954503,1077,1.1881447582815596,2.062713823441378,1.625429290861469,98.80749574105621,1.62539512310118,99.14821124361158,Elite reliability-adjusted mechanical profile,0.372,0.262,0.529,92.1,49.9,14.5,1.8581799332933038,98.9778534923339,1.858140872937439,98.9778534923339,Elite reliability-adjusted mechanical profile,0.9999789792392195,0.03047138176680026,2025-03-28,2025-09-30,1.858140872937439
691406,"Caminero, Junior",R,78.537769633,0.5939505041246561,1091,2.6625276756695984,1.0034516847788937,1.832989680224246,99.31856899488926,1.8329561831232781,99.48892674616695,Elite reliability-adjusted mechanical profile,0.346,0.255,0.501,92.4,51.4,14.0,1.8534691332097102,98.80749574105621,1.8534352618555145,98.80749574105621,Elite reliability-adjusted mechanical profile,0.9999817254285012,0.03027524209883363,2025-03-28,2025-09-30,1.8534352618555145
660670,"Acuña Jr., Ronald",R,76.414268656,0.5091937765205091,707,1.8581031126889007,0.00985032752455453,0.9339767201067276,91.9931856899489,0.9331826221761019,93.69676320272572,Elite reliability-adjusted mechanical profile,0.397,0.263,0.535,92.7,52.5,15.7,1.66683404879447,98.46678023850085,1.6654168512986984,98.63713798977854,Elite reliability-adjusted mechanical profile,0.9991497668908332,0.03760887072223008,2025-03-28,2025-09-30,1.6654168512986984
665833,"Cruz, Oneil",L,78.773176469,0.4765432098765431,810,2.751704484733048,-0.3729115870704186,1.1893964488313147,96.25212947189097,1.1890354204584024,97.61499148211243,Elite reliability-adjusted mechanical profile,0.324,0.218,0.425,95.8,56.6,17.9,1.6575052007028643,98.29642248722317,1.6570020830028818,98.46678023850085,Elite reliability-adjusted mechanical profile,0.9996964608619211,0.03513641844631533,2025-03-28,2025-09-30,1.6570020830028818
